trade_date,symbol,name,board,industry,close,pct_chg,turnover_pct,future_5_trade_date,future_5_return,future_5_direction,future_5_up_label,predicted_top_quantile_prob,predicted_non_top_quantile_prob,predicted_return_rank_score,top_quantile_threshold,target_threshold,rank_by_raw_top_quantile_prob,overheat_penalty,overheat_penalty_reason,top_quantile_signal_score,predicted_top_quantile,rank_by_top_quantile_prob,actual_future_5_return_rank,actual_top_quantile_label,model_type,anchor_date,train_start,train_end,train_rows,train_dates,train_label_up_threshold,train_label_down_threshold,train_exclude_st,prediction_exclude_st,target_mode,top_quantile,overheat_penalty_enabled,anchor_stock_count,anchor_coverage_ratio,turnover_pct_feature,ret_5,ret_20,volatility_5,range_pos_20,market_up_ratio,market_avg_pct_chg,industry_up_ratio,industry_avg_pct_chg,is_pre_holiday_3,is_post_holiday_3,pre_holiday_tday,post_holiday_tday,holiday_gap_days,turnover_pct_pctile,ret_5_pctile,ret_20_pctile,volatility_5_pctile,range_pos_20_pctile,market_index_count,market_avg_up_prob,market_avg_down_prob,market_high_risk_count,weak_trend_count,rebound_count,pullback_count,low_risk_count,neutral_count,high_position_reversal_risk_count,exhausted_rebound_risk_count,aggregate_market_regime,aggregate_market_risk_level,is_overheat_candidate,is_weak_industry_candidate,is_volatility_industry_drag_candidate,is_medium_hot_short_broken_candidate,is_high_risk_intraday_break_candidate,is_high_risk_limit_up_chase_candidate,is_breadth_divergence_chase_candidate,is_medium_risk_crowded_momentum_candidate,is_medium_risk_late_trend_candidate,is_crowded_intraday_break_candidate,is_late_high_position_weakening_candidate,is_extreme_momentum_extension_candidate,is_extreme_weak_market_extension_candidate,is_rebound_crowded_chase_candidate,is_rebound_limit_up_volatility_candidate,is_weak_breadth_sideways_candidate,is_high_risk_pullback_short_weak_candidate,is_high_risk_pullback_crowded_candidate,is_trend_break_candidate,is_weak_market_low_position_candidate,is_high_risk_tail_chase_candidate,is_weak_market_weak_industry_down_candidate,is_backup_low_elastic_candidate,is_low_turnover_spike_fade_candidate,is_sharp_drop_rebound_candidate,is_fragile_candidate,signal_eligible_rank,signal_action,signal_count,signal_reason,final_signal_rank,is_final_signal
2026-05-06,002552,宝鼎科技,深市主板,元件,22.85,3.5342,3.9489,2026-05-13,0.523413566739606,上涨,1.0,1.0,0.0,1.0154209270835204,0.2,0.5,1,0.0,,1.0,1,1,1.0,1.0,LightGBM,2026-05-06,2025-05-06,2026-04-23,49366,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,3.9489,0.0933014354066987,0.4227895392278955,0.0198863502160891,0.962059620465846,0.7205240174672489,1.7230296943231442,1.0,3.5590714285714284,0,1,0,1,6,0.6519823788546255,0.8810572687224669,0.9646017699115044,0.3303964757709251,0.9251101321585903,6,0.6363013136427312,0.36369868635726865,5,0,0,5,0,1,5,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,不出手,0,全市场高位回落风险,1,0
2026-05-06,000935,四川双马,深市主板,多元金融,27.25,1.9835,1.1879,2026-05-13,0.2414678899082567,上涨,1.0,0.9955156950672646,0.0044843049327354,1.0081819964928758,0.2,0.5,2,0.0,,0.9955156950672646,1,2,8.0,1.0,LightGBM,2026-05-06,2025-05-06,2026-04-23,49366,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,1.1879,-0.043859649122807,0.0562015503875967,0.0217741931051327,0.5753424656220679,0.7205240174672489,1.7230296943231442,1.0,1.9835,0,1,0,1,6,0.14977973568281938,0.1277533039647577,0.4469026548672566,0.3656387665198238,0.4713656387665198,6,0.6363013136427312,0.36369868635726865,5,0,0,5,0,1,5,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,不出手,0,全市场高位回落风险,2,0
2026-05-06,600330,天通股份,沪市主板,电子化学品Ⅱ,27.01,-3.1553,22.1498,2026-05-13,0.2984079970381339,上涨,1.0,0.9910313901345292,0.0089686098654708,0.9664517607004638,0.2,0.5,3,0.0,,0.9910313901345292,1,3,4.0,1.0,LightGBM,2026-05-06,2025-05-06,2026-04-23,49366,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,22.1498,0.0432599459250675,0.6786824114356744,0.0585526552625611,0.8788128606035605,0.7205240174672489,1.7230296943231442,0.0,-3.1553,0,1,0,1,6,0.9823788546255506,0.7224669603524229,0.9911504424778761,0.973568281938326,0.7709251101321586,6,0.6363013136427312,0.36369868635726865,5,0,0,5,0,1,5,0,高位回落,高风险,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,不出手,0,全市场高位回落风险,3,0
2026-05-07,000935,四川双马,深市主板,多元金融,28.4,4.2202,1.2105,2026-05-14,0.1742957746478874,上涨,1.0,1.0,0.0,0.9841311304536036,0.2,0.5,1,0.0,,1.0,1,1,7.0,1.0,LightGBM,2026-05-07,2025-05-07,2026-04-24,49388,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,1.2105,-0.0076869322152341,0.1359999999999999,0.0317610342453556,0.8378995431876939,0.6986899563318777,1.350924017467249,1.0,4.2202,0,1,0,2,6,0.1762114537444934,0.2290748898678414,0.6061946902654868,0.6519823788546255,0.6740088105726872,6,0.34514237265380726,0.6548576273461927,3,0,0,0,0,6,0,0,中性,中风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Top1,1,市场上涨概率不足，不放Top2,1,1
2026-05-07,600330,天通股份,沪市主板,电子化学品Ⅱ,27.98,3.5913,18.5957,2026-05-14,0.172265904217298,上涨,1.0,0.9955156950672646,0.0044843049327354,0.9628481672065904,0.2,0.5,2,0.0,,0.9955156950672646,1,2,8.0,1.0,LightGBM,2026-05-07,2025-05-07,2026-04-24,49388,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,18.5957,0.0204230488694383,0.644914756025867,0.0544515716524886,0.904538341087282,0.6986899563318777,1.350924017467249,1.0,3.5913,0,1,0,2,6,0.9691629955947136,0.4669603524229075,0.9823008849557522,0.9647577092511013,0.7973568281938326,6,0.34514237265380726,0.6548576273461927,3,0,0,0,0,6,0,0,中性,中风险,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,Top1,1,市场上涨概率不足，不放Top2,2,0
2026-05-07,920971,天马新材,北交所,非金属材料Ⅱ,29.92,0.5,5.73,2026-05-14,0.0929144385026738,上涨,1.0,0.9910313901345292,0.0089686098654708,0.8659216692312591,0.2,0.5,3,0.0,,0.9910313901345292,1,3,21.0,1.0,LightGBM,2026-05-07,2025-05-07,2026-04-24,49388,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,5.73,0.0568703638290357,0.2435577722360766,0.0307294917787444,0.8230337077495742,0.6986899563318777,1.350924017467249,1.0,0.4071333333333333,0,1,0,2,6,0.775330396475771,0.7268722466960352,0.8230088495575221,0.6211453744493393,0.6563876651982379,6,0.34514237265380726,0.6548576273461927,3,0,0,0,0,6,0,0,中性,中风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Top1,1,市场上涨概率不足，不放Top2,3,0
2026-05-08,000935,四川双马,深市主板,多元金融,28.5,0.3521,0.8621,2026-05-15,0.1484210526315788,上涨,1.0,1.0,0.0,0.9854463036244554,0.2,0.5,1,0.0,,1.0,1,1,9.0,1.0,LightGBM,2026-05-08,2025-05-08,2026-04-27,49405,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,0.8621,0.0145959416162335,0.1450381679389312,0.0302392069600005,0.841558441339855,0.6593886462882096,1.2613655021834065,1.0,0.3521,0,1,0,3,6,0.09691629955947137,0.22026431718061673,0.6106194690265486,0.7533039647577092,0.6784140969162996,6,0.15997699405710386,0.840023005942896,6,0,0,5,0,1,0,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Top1,1,高风险市场，只保留最强合格Top1,1,1
2026-05-08,003017,大洋生物,深市主板,化学原料,32.06,0.3129,3.508,2026-05-15,0.0433562071116655,上涨,1.0,0.9955156950672646,0.0044843049327354,0.7499076015493219,0.2,0.5,2,0.0,,0.9955156950672646,1,2,28.0,1.0,LightGBM,2026-05-08,2025-05-08,2026-04-27,49405,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,3.508,0.0252638311480652,0.0487405953549231,0.009729007176093,0.8169014080671824,0.6593886462882096,1.2613655021834065,1.0,0.3129,0,1,0,3,6,0.5374449339207048,0.28634361233480177,0.336283185840708,0.1277533039647577,0.6255506607929515,6,0.15997699405710386,0.840023005942896,6,0,0,5,0,1,0,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Top1,1,高风险市场，只保留最强合格Top1,2,0
2026-05-08,002001,新 和 成,深市主板,化学制品,32.29,0.124,0.9053,2026-05-15,0.0195106844224219,上涨,1.0,0.9910313901345292,0.0089686098654708,0.7458918212464068,0.2,0.5,3,0.0,,0.9910313901345292,1,3,47.0,0.0,LightGBM,2026-05-08,2025-05-08,2026-04-27,49405,237,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,0.9053,-0.087595365922577,-0.1520483193277311,0.02060802638549,0.048245614028034,0.6593886462882096,1.2613655021834065,0.5,0.1673,0,1,0,3,6,0.10572687224669604,0.022026431718061675,0.008849557522123894,0.46255506607929514,0.02643171806167401,6,0.15997699405710386,0.840023005942896,6,0,0,5,0,1,0,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Top1,1,高风险市场，只保留最强合格Top1,3,0
2026-05-11,000935,四川双马,深市主板,多元金融,28.69,0.6667,0.9528,2026-05-18,0.1066573719065875,上涨,1.0,1.0,0.0,0.9543676721421872,0.2,0.5,1,0.0,,1.0,1,1,10.0,1.0,LightGBM,2026-05-11,2025-05-12,2026-04-28,49230,236,0.01,-0.01,1,1,rank_return,0.2,0,227,0.9956140350877192,0.9528,0.0338738738738739,0.1224569640062598,0.0289933019157703,0.8909090906776863,0.5720524017467249,0.8694973799126637,1.0,0.6667,0,0,0,0,0,0.07929515418502203,0.4185022026431718,0.6637168141592921,0.7092511013215859,0.7665198237885462,6,0.4248667490383861,0.5751332509616138,5,0,0,2,0,4,2,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,不出手,0,高风险高位回落且市场宽度不足,1,0
