trade_date,symbol,name,board,industry,close,pct_chg,turnover_pct,future_5_trade_date,future_5_return,future_5_direction,future_5_up_label,predicted_top_quantile_prob,predicted_non_top_quantile_prob,top_quantile_threshold,target_threshold,rank_by_raw_top_quantile_prob,overheat_penalty,overheat_penalty_reason,top_quantile_signal_score,predicted_top_quantile,rank_by_top_quantile_prob,actual_future_5_return_rank,actual_top_quantile_label,model_type,anchor_date,train_start,train_end,train_rows,train_dates,train_label_up_threshold,train_label_down_threshold,train_exclude_st,prediction_exclude_st,target_mode,top_quantile,overheat_penalty_enabled,anchor_stock_count,anchor_coverage_ratio,turnover_pct_feature,ret_5,ret_20,volatility_5,range_pos_20,market_up_ratio,market_avg_pct_chg,industry_up_ratio,industry_avg_pct_chg,is_pre_holiday_3,is_post_holiday_3,pre_holiday_tday,post_holiday_tday,holiday_gap_days,turnover_pct_pctile,ret_5_pctile,ret_20_pctile,volatility_5_pctile,range_pos_20_pctile,market_index_count,market_avg_up_prob,market_avg_down_prob,market_high_risk_count,weak_trend_count,rebound_count,pullback_count,low_risk_count,neutral_count,high_position_reversal_risk_count,exhausted_rebound_risk_count,aggregate_market_regime,aggregate_market_risk_level,is_overheat_candidate,is_weak_industry_candidate,is_volatility_industry_drag_candidate,is_medium_hot_short_broken_candidate,is_high_risk_intraday_break_candidate,is_high_risk_limit_up_chase_candidate,is_breadth_divergence_chase_candidate,is_medium_risk_crowded_momentum_candidate,is_medium_risk_late_trend_candidate,is_crowded_intraday_break_candidate,is_late_high_position_weakening_candidate,is_extreme_momentum_extension_candidate,is_extreme_weak_market_extension_candidate,is_rebound_crowded_chase_candidate,is_rebound_limit_up_volatility_candidate,is_weak_breadth_sideways_candidate,is_high_risk_pullback_short_weak_candidate,is_high_risk_pullback_crowded_candidate,is_trend_break_candidate,is_weak_market_low_position_candidate,is_high_risk_tail_chase_candidate,is_weak_market_weak_industry_down_candidate,is_backup_low_elastic_candidate,is_low_turnover_spike_fade_candidate,is_fragile_candidate,signal_eligible_rank,signal_action,signal_count,signal_reason,final_signal_rank,is_final_signal
2026-01-05,603618,杭电股份,沪市主板,电网设备,8.34,3.4739,3.7413,2026-01-12,0.0215827338129495,上涨,1.0,0.7713473141981096,0.2286526858018903,0.2,0.5,1,0.0,,0.7713473141981096,1,1,151.0,0.0,LightGBM,2026-01-05,2025-01-06,2025-12-24,35891,236,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,3.7413,-0.0302325581395348,0.0733590733590734,0.0232562025153049,0.4418604648593831,0.7918552036199095,1.6959696832579183,0.8888888888888888,1.1570333333333334,0,1,0,1,5,0.6894977168949772,0.0821917808219178,0.6467889908256881,0.6438356164383562,0.2694063926940639,6,0.6311860072348218,0.3688139927651783,6,0,0,5,0,1,5,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,不出手,0,全市场高位回落风险,1,0
2026-01-05,002757,南兴股份,深市主板,专用设备,21.26296998,10.0154,20.5711,2026-01-12,0.2605042016806722,上涨,1.0,0.698902597346415,0.301097402653585,0.2,0.5,2,0.0,,0.698902597346415,1,2,7.0,1.0,LightGBM,2026-01-05,2025-01-06,2025-12-24,35891,236,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,20.5711,0.3320895522388061,0.3230389129092033,0.054735410533202,0.9999999998332144,0.7918552036199095,1.6959696832579183,0.9,2.77878,0,1,0,1,5,0.9908675799086758,0.9954337899543378,0.963302752293578,0.9406392694063926,0.9771689497716894,6,0.6311860072348218,0.3688139927651783,6,0,0,5,0,1,5,0,高位回落,高风险,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,,不出手,0,全市场高位回落风险,2,0
2026-01-05,002956,西麦食品,深市主板,休闲食品,18.71639259,-5.1565,3.0294,2026-01-12,0.0416197975253092,上涨,1.0,0.6920561695240454,0.3079438304759546,0.2,0.5,3,0.0,,0.6920561695240454,1,3,103.0,0.0,LightGBM,2026-01-05,2025-01-06,2025-12-24,35891,236,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,3.0294,-0.0026178010471203,0.1272189349112427,0.0317838801021113,0.6596958173117805,0.7918552036199095,1.6959696832579183,0.0,-5.1565,0,1,0,1,5,0.5981735159817352,0.3242009132420091,0.8165137614678899,0.8127853881278538,0.4474885844748858,6,0.6311860072348218,0.3688139927651783,6,0,0,5,0,1,5,0,高位回落,高风险,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,不出手,0,全市场高位回落风险,3,0
2026-01-06,002757,南兴股份,深市主板,专用设备,23.38728164,9.9907,17.1127,2026-01-13,0.0615449915110355,上涨,1.0,0.709663641917277,0.2903363580827229,0.2,0.5,1,0.0,,0.709663641917277,1,1,48.0,0.0,LightGBM,2026-01-06,2025-01-06,2025-12-25,36104,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,17.1127,0.4715802623360399,0.429611650485437,0.0425005204649441,0.9999999998768476,0.755656108597285,1.5441266968325793,0.7,1.52655,0,1,0,2,5,0.9817351598173516,0.9908675799086758,0.9862385321100917,0.8904109589041096,0.9908675799086758,6,0.8309991204304911,0.16900087956950893,6,0,0,6,0,0,6,0,高位回落,高风险,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,不出手,0,全市场高位回落风险,1,0
2026-01-06,002956,西麦食品,深市主板,休闲食品,18.54796611,-0.8999,1.5038,2026-01-13,0.0374574347332576,上涨,1.0,0.6808300612114114,0.3191699387885885,0.2,0.5,2,0.0,,0.6808300612114114,1,2,66.0,0.0,LightGBM,2026-01-06,2025-01-06,2025-12-25,36104,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,1.5038,-0.0240029542097488,0.1290046988466469,0.0310682354706197,0.6140684408982854,0.755656108597285,1.5441266968325793,0.0,-0.8999,0,1,0,2,5,0.2237442922374429,0.0958904109589041,0.8119266055045872,0.771689497716895,0.3378995433789954,6,0.8309991204304911,0.16900087956950893,6,0,0,6,0,0,6,0,高位回落,高风险,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,不出手,0,全市场高位回落风险,2,0
2026-01-06,600176,中国巨石,沪市主板,玻璃玻纤,17.51,0.0571,1.5576,2026-01-13,0.0085665334094802,上涨,1.0,0.6788390323386695,0.3211609676613305,0.2,0.5,3,0.0,,0.6788390323386695,1,3,122.0,0.0,LightGBM,2026-01-06,2025-01-06,2025-12-25,36104,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,1.5576,0.055455093429777,0.1159974506054812,0.0262133731756496,0.8787878784919908,0.755656108597285,1.5441266968325793,1.0,0.0571,0,1,0,2,5,0.2420091324200913,0.7853881278538812,0.7752293577981652,0.6621004566210046,0.726027397260274,6,0.8309991204304911,0.16900087956950893,6,0,0,6,0,0,6,0,高位回落,高风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,不出手,0,全市场高位回落风险,3,0
2026-01-07,603618,杭电股份,沪市主板,电网设备,8.41,0.4779,4.6583,2026-01-14,-0.0047562425683711,下跌,0.0,0.6877710570013341,0.3122289429986659,0.2,0.5,1,0.0,,0.6877710570013341,1,1,156.0,0.0,LightGBM,2026-01-07,2025-01-07,2025-12-26,36280,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,4.6583,0.0108173076923077,0.0499375780274657,0.0207070290745598,0.4825581392543265,0.4796380090497738,0.1543036199095022,0.8888888888888888,0.9278111111111113,0,1,0,3,5,0.6940639269406392,0.3150684931506849,0.6055045871559633,0.5707762557077626,0.2374429223744292,6,0.8095868228441544,0.19041317715584558,1,0,0,1,5,0,1,0,低风险,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,Top1,1,只保留Top1,1,0
2026-01-07,002921,联诚精密,深市主板,汽车零部件,17.13,1.9643,4.8985,2026-01-14,0.0928196147110331,上涨,1.0,0.6789110334605407,0.3210889665394593,0.2,0.5,2,0.0,,0.6789110334605407,1,2,27.0,1.0,LightGBM,2026-01-07,2025-01-07,2025-12-26,36280,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,4.8985,0.1101749837977965,0.0807570977917979,0.0293765130522959,0.8705583754135635,0.4796380090497738,0.1543036199095022,0.55,0.3456749999999999,0,1,0,3,5,0.7123287671232876,0.9315068493150684,0.7110091743119266,0.7442922374429224,0.8082191780821918,6,0.8095868228441544,0.19041317715584558,1,0,0,1,5,0,1,0,低风险,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Top1,1,只保留Top1,2,1
2026-01-07,002956,西麦食品,深市主板,休闲食品,18.98306785,2.3458,1.2332,2026-01-14,0.0051756007393715,上涨,1.0,0.636965599238029,0.363034400761971,0.2,0.5,3,0.0,,0.636965599238029,1,3,136.0,0.0,LightGBM,2026-01-07,2025-01-07,2025-12-26,36280,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,1.2332,-0.0058801911062109,0.1313258051024677,0.0334845003086687,0.7262135920320739,0.4796380090497738,0.1543036199095022,1.0,2.3458,0,1,0,3,5,0.1689497716894977,0.1689497716894977,0.8256880733944955,0.817351598173516,0.5068493150684932,6,0.8095868228441544,0.19041317715584558,1,0,0,1,5,0,1,0,低风险,低风险,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Top1,1,只保留Top1,3,0
2026-01-08,002956,西麦食品,深市主板,休闲食品,18.91289015,-0.3697,1.3127,2026-01-15,0.0007421150278295,上涨,1.0,0.6872638768247822,0.3127361231752178,0.2,0.5,1,0.0,,0.6872638768247822,1,1,139.0,0.0,LightGBM,2026-01-08,2025-01-08,2025-12-29,36456,237,0.01,-0.01,1,1,top_quantile,0.2,0,219,0.9605263157894736,1.3127,-0.0084621044885945,0.1150186181216383,0.0335119072408756,0.7067961163092906,0.5429864253393665,0.6170239819004525,0.0,-0.3697,0,0,0,0,0,0.2420091324200913,0.1415525114155251,0.7385321100917431,0.8401826484018264,0.4748858447488584,6,0.40877712903901803,0.5912228709609819,5,0,0,5,1,0,1,0,高位回落,高风险,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,不出手,0,高风险高位回落且市场宽度不足,1,0
