指数名称,date,code,open,high,low,close,preclose,volume,amount,pctChg
上证指数,2023-05-26,sh.000001,3198.8825,3220.7737,3179.8217,3212.5038,3201.2605,26170047900,333319265973.1000,0.351215
上证指数,2023-05-29,sh.000001,3219.7553,3230.9706,3208.9550,3221.4484,3212.5038,29738948700,377875996064.0000,0.278431
上证指数,2023-05-30,sh.000001,3214.6728,3230.6317,3186.6256,3224.2133,3221.4484,30353246000,376622572865.1000,0.085828
上证指数,2023-05-31,sh.000001,3214.6551,3216.3597,3190.2736,3204.5644,3224.2133,29457333800,384999190215.7000,-0.609417
上证指数,2023-06-01,sh.000001,3196.1547,3225.0930,3189.5174,3204.6345,3204.5644,31233075900,400981483177.6000,0.002188
上证指数,2023-06-02,sh.000001,3212.4489,3233.9916,3211.7370,3230.0686,3204.6345,29466709800,377507927729.1000,0.793666
上证指数,2023-06-05,sh.000001,3231.8108,3244.1801,3221.6254,3232.4410,3230.0686,27806020300,357810090574.8000,0.073447
上证指数,2023-06-06,sh.000001,3228.4068,3247.3490,3189.2692,3195.3404,3232.4410,30828587200,387492228835.7000,-1.147758
上证指数,2023-06-07,sh.000001,3197.4677,3210.3295,3188.0053,3197.7587,3195.3404,25806340000,331083866651.7000,0.075682
上证指数,2023-06-08,sh.000001,3194.8348,3225.5263,3180.5354,3213.5855,3197.7587,29353074100,353551633155.6000,0.494934
上证指数,2023-06-09,sh.000001,3213.0330,3231.4055,3206.1027,3231.4055,3213.5855,31415550100,413341768412.7000,0.554521
上证指数,2023-06-12,sh.000001,3225.3049,3239.4368,3210.7135,3228.8336,3231.4055,31378444400,403241619623.4000,-0.079591
上证指数,2023-06-13,sh.000001,3223.8958,3235.0854,3215.4989,3233.6734,3228.8336,28062845400,377193491389.4000,0.149893
上证指数,2023-06-14,sh.000001,3238.1189,3248.4609,3226.7743,3228.9887,3233.6734,30353726000,404009517761.0000,-0.144872
上证指数,2023-06-15,sh.000001,3230.4512,3252.9751,3229.1452,3252.9751,3228.9887,31325575200,437522981548.2000,0.742846
上证指数,2023-06-16,sh.000001,3256.2989,3276.5522,3255.4988,3273.3341,3252.9751,32628184600,444375632395.7000,0.625858
上证指数,2023-06-19,sh.000001,3271.1635,3271.1635,3251.7789,3255.8057,3273.3341,32775304700,455226178218.8000,-0.535491
上证指数,2023-06-20,sh.000001,3252.5435,3252.8435,3237.7857,3240.3648,3255.8057,29826059600,433243981459.9000,-0.474257
上证指数,2023-06-21,sh.000001,3230.1142,3236.3626,3197.9011,3197.9011,3240.3648,29437737200,406234561359.8000,-1.310460
上证指数,2023-06-26,sh.000001,3177.2293,3181.0758,3144.2484,3150.6189,3197.9011,30812981100,398859657407.8000,-1.478539
上证指数,2023-06-27,sh.000001,3153.3132,3194.4086,3148.2657,3189.4427,3150.6189,28760432700,354487810600.4000,1.232259
上证指数,2023-06-28,sh.000001,3183.4865,3192.6589,3157.1229,3189.3758,3189.4427,27623194800,360118192478.4000,-0.002098
上证指数,2023-06-29,sh.000001,3185.4242,3196.5025,3179.5251,3182.3812,3189.3758,25034007400,340636710911.3000,-0.219309
上证指数,2023-06-30,sh.000001,3178.9242,3212.9928,3177.9913,3202.0623,3182.3812,26537987300,359739563354.0000,0.618439
上证指数,2023-07-03,sh.000001,3209.1623,3246.8605,3209.1623,3243.9750,3202.0623,31237139500,421353472356.4000,1.308928
上证指数,2023-07-04,sh.000001,3241.2305,3246.9576,3233.9895,3245.3492,3243.9750,27924872100,387115944059.6000,0.042362
上证指数,2023-07-05,sh.000001,3240.0486,3241.8353,3218.6022,3222.9469,3245.3492,26401642600,351234984740.6000,-0.690289
上证指数,2023-07-06,sh.000001,3215.8633,3229.4799,3199.7164,3205.5748,3222.9469,24611903200,320808312589.1000,-0.539013
上证指数,2023-07-07,sh.000001,3197.4716,3212.0472,3189.2114,3196.6092,3205.5748,25568846900,313607453159.0000,-0.279688
上证指数,2023-07-10,sh.000001,3208.7349,3216.5348,3192.6579,3203.6958,3196.6092,23656036700,311462495601.4000,0.221691
上证指数,2023-07-11,sh.000001,3211.1222,3221.6804,3200.3845,3221.3666,3203.6958,22760046700,309950254679.6000,0.551575
上证指数,2023-07-12,sh.000001,3220.3758,3224.3312,3193.4366,3196.1337,3221.3666,27142338600,365433182293.6000,-0.783298
上证指数,2023-07-13,sh.000001,3202.6992,3238.4675,3202.6992,3236.4800,3196.1337,27662050800,373242517824.7000,1.262347
上证指数,2023-07-14,sh.000001,3240.9695,3248.3849,3233.9985,3237.7012,3236.4800,27332749400,368337829107.5000,0.037732
上证指数,2023-07-17,sh.000001,3219.0162,3219.0162,3195.8862,3209.6298,3237.7012,25020837600,322074497062.9000,-0.867016
上证指数,2023-07-18,sh.000001,3206.7860,3210.2482,3190.0049,3197.8201,3209.6298,23503025900,307331649309.9000,-0.367946
上证指数,2023-07-19,sh.000001,3195.0085,3204.3612,3181.5611,3198.8358,3197.8201,21735586000,281206091159.0000,0.031762
上证指数,2023-07-20,sh.000001,3201.9111,3209.0554,3165.6739,3169.5220,3198.8358,23893289100,302376024110.2000,-0.916390
上证指数,2023-07-21,sh.000001,3163.4210,3185.6357,3157.3335,3167.7452,3169.5220,22533136300,280673190404.2000,-0.056059
上证指数,2023-07-24,sh.000001,3157.4694,3178.7335,3151.1252,3164.1608,3167.7452,21659521100,260119088909.0000,-0.113153
上证指数,2023-07-25,sh.000001,3201.4575,3231.7486,3201.4575,3231.5213,3164.1608,34861771400,410846601110.5000,2.128858
上证指数,2023-07-26,sh.000001,3228.0873,3229.8921,3212.8801,3223.0279,3231.5213,31720605100,328306929373.0000,-0.262830
上证指数,2023-07-27,sh.000001,3225.4763,3245.6028,3210.4699,3216.6709,3223.0279,32711886700,332145068268.0000,-0.197237
上证指数,2023-07-28,sh.000001,3206.7410,3280.2777,3200.9939,3275.9257,3216.6709,41106843400,436923617408.4000,1.842116
上证指数,2023-07-31,sh.000001,3287.2089,3322.1291,3281.0133,3291.0398,3275.9257,45903099400,511505348417.9000,0.461369
上证指数,2023-08-01,sh.000001,3288.7604,3305.3402,3279.5656,3290.9493,3291.0398,45989083300,441023318588.5000,-0.002750
上证指数,2023-08-02,sh.000001,3281.8583,3290.8203,3252.3036,3261.6903,3290.9493,40534149900,388952703973.5000,-0.889075
上证指数,2023-08-03,sh.000001,3254.5651,3280.8636,3247.2719,3280.4626,3261.6903,38469131700,389530671967.1000,0.575539
上证指数,2023-08-04,sh.000001,3296.0944,3315.0492,3281.7343,3288.0842,3280.4626,47092769700,497188089389.3000,0.232333
上证指数,2023-08-07,sh.000001,3276.7756,3276.7756,3258.5372,3268.8311,3288.0842,36034148400,393056934181.5000,-0.585542
