trade_date,index_code,index_name,open,high,low,close,preclose,volume,amount,pct_chg,is_pre_holiday_3,is_post_holiday_3,pre_holiday_tday,post_holiday_tday,holiday_gap_days,index_ret_1,index_ret_5,index_ret_10,index_ret_20,index_range_pos_20,index_close_ma_ratio_5,index_amount_ratio_5,index_volatility_5,index_close_ma_ratio_10,index_amount_ratio_10,index_volatility_10,index_close_ma_ratio_20,index_amount_ratio_20,index_volatility_20,index_body_pct,index_close_position_in_day,index_amount_change_1,future_5_trade_date,future_5_close,future_5_return,future_5_direction,future_5_up_label
2023-05-26,sh.000001,上证指数,3198.8825,3220.7737,3179.8217,3212.5038,3201.2605,26170047900,333319265973.1,0.351215,0,0,0,0,0,,,,,,,,,,,,,,,0.004258143273471217,0.79805870287165,,2023-06-02,3230.0686,0.005467635555792993,上涨,1.0
2023-05-29,sh.000001,上证指数,3219.7553,3230.9706,3208.955,3221.4484,3212.5038,29738948700,377875996064.0,0.278431,0,0,0,0,0,0.0027843079905462975,,,,,0.0013902185968992509,1.0626504878045373,,,,,,,,0.0005258474145536505,0.5674794236813983,0.13367583167093589,2023-06-05,3232.441,0.003412316025300788,上涨,1.0
2023-05-30,sh.000001,上证指数,3214.6728,3230.6317,3186.6256,3224.2133,3221.4484,30353246000,376622572865.1,0.085828,0,0,0,0,0,0.0008582785308619556,,,,,0.0014986697007832728,1.0386552622543466,0.0013619084917078604,,,,,,,0.0029677981535166085,0.8541474931884441,-0.0033170225469619785,2023-06-06,3195.3404,-0.008955021679241781,下跌,0.0
2023-05-31,sh.000001,上证指数,3214.6551,3216.3597,3190.2736,3204.5644,3224.2133,29457333800,384999190215.7,-0.609417,0,0,0,0,0,-0.00609416876978941,,,,,-0.003457454237610902,1.0456130901525411,0.004670357990056859,,,,,,,-0.0031389681586680147,0.5478319871502534,0.022241410775982295,2023-06-07,3197.7587,-0.0021237519832649765,下跌,0.0
2023-06-01,sh.000001,上证指数,3196.1547,3225.093,3189.5174,3204.6345,3204.5644,31233075900,400981483177.6,0.002188,0,0,0,0,0,2.187504797834805e-05,,,,0.48510916167336887,-0.002750413751741454,1.0699695869177328,0.0038363400642294834,-0.002750413751741454,1.0699695869177328,,,,,0.002653125645013387,0.42492888384173644,0.04151253656649434,2023-06-08,3213.5855,0.0027931422444587017,上涨,1.0
2023-06-02,sh.000001,上证指数,3212.4489,3233.9916,3211.737,3230.0686,3204.6345,29466709800,377507927729.1,0.793666,0,0,0,0,0,0.007936661731626549,0.005467635555792993,,,0.9275797075326453,0.004066775749314466,0.9841252684682024,0.005063439402610426,0.004299981246210338,1.0061036250463815,0.005063439402610426,,,,0.0054848187624090125,0.8237218372830868,-0.05854024794981183,2023-06-09,3231.4055,0.0004138921383898264,上涨,1.0
2023-06-05,sh.000001,上证指数,3231.8108,3244.1801,3221.6254,3232.441,3230.0686,27806020300,357810090574.8,0.073447,0,0,0,0,0,0.0007344735650505196,0.003412316025300788,,,0.8175980136109999,0.004118012054457054,0.9426368133804497,0.004975332363869695,0.004314848809185534,0.9599688662767661,0.004531354424783437,,,,0.0001949990389287653,0.4795275485818848,-0.05217860528861573,2023-06-12,3228.8336,-0.0011159987142842498,下跌,0.0
2023-06-06,sh.000001,上证指数,3228.4068,3247.349,3189.2692,3195.3404,3232.441,30828587200,387492228835.7,-1.147758,0,0,0,0,0,-0.011477579946548078,-0.008955021679241781,,,0.22981371978103998,-0.005623117260818322,1.0150200964061564,0.007359311530083345,-0.006316417716619727,1.0344820040531106,0.006284591231115477,,,,-0.010242327577800962,0.10453204039958583,0.08295500614087636,2023-06-13,3233.6734,0.011996530948627626,上涨,1.0
2023-06-07,sh.000001,上证指数,3197.4677,3210.3295,3188.0053,3197.7587,3195.3404,25806340000,331083866651.7,0.075682,0,0,0,0,0,0.0007568207756518675,-0.0021237519832649765,,,0.265625902408866,-0.0044488554195742935,0.8924691962974032,0.006982402799773586,-0.004949173084837555,0.895441718411087,0.005842675557011947,,,,9.100951981460597e-05,0.43689807473504305,-0.14557288633501242,2023-06-14,3228.9887,0.00976621531824784,上涨,1.0
2023-06-08,sh.000001,上证指数,3194.8348,3225.5263,3180.5354,3213.5855,3197.7587,29353074100,353551633155.6,0.494934,0,0,0,0,0,0.004949341549755015,0.0027931422444587017,,,0.5000022213164168,-7.882784813184607e-05,0.9780421729194696,0.007393442689851131,-2.1894068022443314e-05,0.960413405473198,0.005765603727588385,-2.1894068022443314e-05,0.960413405473198,,0.0058690671580264656,0.7345952181441155,0.06786125440396651,2023-06-15,3252.9751,0.012257212387845273,上涨,1.0
