ts_code,name,parent_code,level,industry_code,is_pub,src
801010.SI,农林牧渔,0,L1,110000,1,SW2021
801030.SI,基础化工,0,L1,220000,1,SW2021
801040.SI,钢铁,0,L1,230000,1,SW2021
801050.SI,有色金属,0,L1,240000,1,SW2021
801080.SI,电子,0,L1,270000,1,SW2021
801110.SI,家用电器,0,L1,330000,1,SW2021
801120.SI,食品饮料,0,L1,340000,1,SW2021
801130.SI,纺织服饰,0,L1,350000,1,SW2021
801140.SI,轻工制造,0,L1,360000,1,SW2021
801150.SI,医药生物,0,L1,370000,1,SW2021
801160.SI,公用事业,0,L1,410000,1,SW2021
801170.SI,交通运输,0,L1,420000,1,SW2021
801180.SI,房地产,0,L1,430000,1,SW2021
801200.SI,商贸零售,0,L1,450000,1,SW2021
801210.SI,社会服务,0,L1,460000,1,SW2021
801230.SI,综合,0,L1,510000,1,SW2021
801710.SI,建筑材料,0,L1,610000,1,SW2021
801720.SI,建筑装饰,0,L1,620000,1,SW2021
801730.SI,电力设备,0,L1,630000,1,SW2021
801740.SI,国防军工,0,L1,650000,1,SW2021
801750.SI,计算机,0,L1,710000,1,SW2021
801760.SI,传媒,0,L1,720000,1,SW2021
801770.SI,通信,0,L1,730000,1,SW2021
801780.SI,银行,0,L1,480000,1,SW2021
801790.SI,非银金融,0,L1,490000,1,SW2021
801880.SI,汽车,0,L1,280000,1,SW2021
801890.SI,机械设备,0,L1,640000,1,SW2021
801950.SI,煤炭,0,L1,740000,1,SW2021
801960.SI,石油石化,0,L1,750000,1,SW2021
801970.SI,环保,0,L1,760000,1,SW2021
801980.SI,美容护理,0,L1,770000,1,SW2021
801011.SI,林业Ⅱ,110000,L2,110300,0,SW2021
801012.SI,农产品加工,110000,L2,110500,1,SW2021
801014.SI,饲料,110000,L2,110400,1,SW2021
801015.SI,渔业,110000,L2,110200,1,SW2021
801016.SI,种植业,110000,L2,110100,1,SW2021
801017.SI,养殖业,110000,L2,110700,1,SW2021
801018.SI,动物保健Ⅱ,110000,L2,110800,1,SW2021
801019.SI,农业综合Ⅱ,110000,L2,110900,0,SW2021
801032.SI,化学纤维,220000,L2,220400,1,SW2021
801033.SI,化学原料,220000,L2,220200,1,SW2021
801034.SI,化学制品,220000,L2,220300,1,SW2021
801036.SI,塑料,220000,L2,220500,1,SW2021
801037.SI,橡胶,220000,L2,220600,1,SW2021
801038.SI,农化制品,220000,L2,220800,1,SW2021
801039.SI,非金属材料Ⅱ,220000,L2,220900,1,SW2021
801043.SI,冶钢原料,230000,L2,230300,1,SW2021
801044.SI,普钢,230000,L2,230400,1,SW2021
801045.SI,特钢Ⅱ,230000,L2,230500,1,SW2021
801051.SI,金属新材料,240000,L2,240200,1,SW2021
801053.SI,贵金属,240000,L2,240400,1,SW2021
801054.SI,小金属,240000,L2,240500,1,SW2021
801055.SI,工业金属,240000,L2,240300,1,SW2021
801056.SI,能源金属,240000,L2,240600,1,SW2021
801072.SI,通用设备,640000,L2,640100,1,SW2021
801074.SI,专用设备,640000,L2,640200,1,SW2021
801076.SI,轨交设备Ⅱ,640000,L2,640500,1,SW2021
801077.SI,工程机械,640000,L2,640600,1,SW2021
801078.SI,自动化设备,640000,L2,640700,1,SW2021
801081.SI,半导体,270000,L2,270100,1,SW2021
801082.SI,其他电子Ⅱ,270000,L2,270400,1,SW2021
801083.SI,元件,270000,L2,270200,1,SW2021
801084.SI,光学光电子,270000,L2,270300,1,SW2021
801085.SI,消费电子,270000,L2,270500,1,SW2021
801086.SI,电子化学品Ⅱ,270000,L2,270600,1,SW2021
801092.SI,汽车服务,280000,L2,280300,1,SW2021
801093.SI,汽车零部件,280000,L2,280200,1,SW2021
801095.SI,乘用车,280000,L2,280500,1,SW2021
801096.SI,商用车,280000,L2,280600,1,SW2021
801101.SI,计算机设备,710000,L2,710100,1,SW2021
801102.SI,通信设备,730000,L2,730200,1,SW2021
801103.SI,IT服务Ⅱ,710000,L2,710300,1,SW2021
801104.SI,软件开发,710000,L2,710400,1,SW2021
801111.SI,白色家电,330000,L2,330100,1,SW2021
801112.SI,黑色家电,330000,L2,330200,1,SW2021
801113.SI,小家电,330000,L2,330300,1,SW2021
801114.SI,厨卫电器,330000,L2,330400,1,SW2021
801115.SI,照明设备Ⅱ,330000,L2,330500,1,SW2021
801116.SI,家电零部件Ⅱ,330000,L2,330600,1,SW2021
801117.SI,其他家电Ⅱ,330000,L2,330700,0,SW2021
801124.SI,食品加工,340000,L2,340400,1,SW2021
801125.SI,白酒Ⅱ,340000,L2,340500,1,SW2021
801126.SI,非白酒,340000,L2,340600,1,SW2021
801127.SI,饮料乳品,340000,L2,340700,1,SW2021
801128.SI,休闲食品,340000,L2,340800,1,SW2021
801129.SI,调味发酵品Ⅱ,340000,L2,340900,1,SW2021
801131.SI,纺织制造,350000,L2,350100,1,SW2021
801132.SI,服装家纺,350000,L2,350200,1,SW2021
801133.SI,饰品,350000,L2,350300,1,SW2021
801141.SI,包装印刷,360000,L2,360200,1,SW2021
801142.SI,家居用品,360000,L2,360300,1,SW2021
801143.SI,造纸,360000,L2,360100,1,SW2021
801145.SI,文娱用品,360000,L2,360500,1,SW2021
801151.SI,化学制药,370000,L2,370100,1,SW2021
801152.SI,生物制品,370000,L2,370300,1,SW2021
801153.SI,医疗器械,370000,L2,370500,1,SW2021
801154.SI,医药商业,370000,L2,370400,1,SW2021
801155.SI,中药Ⅱ,370000,L2,370200,1,SW2021
801156.SI,医疗服务,370000,L2,370600,1,SW2021
801161.SI,电力,410000,L2,410100,1,SW2021
801163.SI,燃气Ⅱ,410000,L2,410300,1,SW2021
801178.SI,物流,420000,L2,420800,1,SW2021
